Match No.,Match Date,Venue,1st Team,2nd Team,Stage,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Method,Won by,Winning Margin,Top Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match,Match_Id
1st,01-06-2024,"Grand Prairie Stadium, Dallas",Canada,United States of America,Group A,United States of America,Fielding,194,5,197,3,United States of America,Normal Match,Wickets,7,Aaron Jones,94,Dilon Heyliger,1,19,Aaron Jones,T20I # 2632
2nd,02-06-2024,"Providence Stadium, Guyana",Papua New Guinea,West Indies,Group C,West Indies,Fielding,136,8,137,5,West Indies,Normal Match,Wickets,5,Sese Bau,50,Andre Russell,2,19,Roston Chase,T20I # 2633
3rd,02-06-2024,"Kensington Oval, Bridgetown, Barbados",Oman,Namibia,Group B,Namibia,Fielding,109,10,109,6,Namibia,Normal Match,Wickets,4,Jan Frylinck,45,Mehran Khan,3,7,David Wiese,T20I # 2634
4th,03-06-2024,"Nassau County International Cricket Stadium, New York",Sri Lanka,South Africa,Group D,Sri Lanka,Batting,77,10,80,4,South Africa,Normal Match,Wickets,6,Quinton de Kock,20,Anrich Nortje,4,7,Anrich Nortje,T20I # 2635
5th,03-06-2024,"Providence Stadium, Guyana",Afghanistan,Uganda,Group C,Uganda,Fielding,183,5,58,10,Afghanistan,Normal Match,Runs,125,Rahmanullah Gurbaz,76,Fazalhaq Farooqi,5,9,Fazalhaq Farooqi,T20I # 2636
6th,04-06-2024,"Kensington Oval, Bridgetown, Barbados",Scotland,England,Group B,Scotland,Batting,90,0,0,0,Rain,Rain,Rain,0,Rain,0,Rain,0,0,Rain,T20I # 2637
7th,04-06-2024,"Grand Prairie Stadium, Dallas",Nepal,Netherlands,Group D,Netherlands,Fielding,106,10,109,4,Netherlands,Normal Match,Wickets,6,Max O'Dowd,54,Tim Pringle,3,20,Tim Pringle,T20I # 2638
8th,05-06-2024,"Nassau County International Cricket Stadium, New York",Ireland,India,Group A,India,Fielding,96,10,97,2,India,Normal Match,Wickets,8,Rohit Sharma,52,Jasprit Bumrah,2,6,Jasprit Bumrah,T20I # 2639
9th,05-06-2024,"Providence Stadium, Guyana",Papua New Guinea,Uganda,Group C,Uganda,Fielding,77,10,78,8,Uganda,Normal Match,Wickets,3,Riazat Ali Shah,33,Alpesh Ramjani,17,17,Riazat Ali Shah,T20I # 2640
10th,05-06-2024,"Kensington Oval, Bridgetown, Barbados",Australia,Oman,Group B,Oman,Fielding,164,5,125,9,Australia,Normal Match,Runs,39,Marcus Stoinis,67,Marcus Stoinis,3,19,Marcus Stoinis,T20I # 2641
11th,06-06-2024,"Grand Prairie Stadium, Dallas",Pakistan,United States of America,Group A,United States of America,Fielding,159,7,160,3,United States of America,Normal Match,Runs,1,Monank Patel,50,Nosthush Kenjige,30,30,Monank Patel,T20I # 2642
12th,06-06-2024,"Kensington Oval, Bridgetown, Barbados",Namibia,Scotland,Group B,Namibia,Batting,155,9,157,5,Scotland,Normal Match,Wickets,5,Michael Leask,35,Brad Currie,2,16,Michael Leask,T20I # 2643
13th,07-06-2024,"Nassau County International Cricket Stadium, New York",Canada,Ireland,Group A,Ireland,Fielding,137,7,125,7,Canada,Normal Match,Runs,12,Nicholas Kirton,49,Jeremy Gordon,2,16,Nicholas Kirton,T20I # 2644
14th,07-06-2024,"Providence Stadium, Guyana",Afghanistan,New Zealand,Group C,New Zealand,Fielding,159,6,75,10,Afghanistan,Normal Match,Runs,84,Rahmanullah Gurbaz,80,Rashid Khan,4,17,Rahmanullah Gurbaz,T20I # 2645
15th,07-06-2024,"Grand Prairie Stadium, Dallas",Sri Lanka,Bangladesh,Group D,Bangladesh,Fielding,124,9,125,8,Bangladesh,Normal Match,Wickets,2,Pathum Nissanka,47,Rishad Hossain,3,22,Rishad Hossain,T20I # 2646
16th,08-06-2024,"Nassau County International Cricket Stadium, New York",Netherlands,South Africa,Group D,South Africa,Fielding,103,9,106,6,South Africa,Normal Match,Wickets,4,David Miller,59,Ottneil Baartman,4,11,David Miller,T20I # 2649
17th,08-06-2024,"Kensington Oval, Bridgetown, Barbados",Australia,England,Group B,England,Fielding,201,7,165,6,Australia,Normal Match,Runs,36,Jos Buttler,42,Adam Zampa,2,28,Adam Zampa,T20I # 2650
18th,08-06-2024,"Providence Stadium, Guyana",West Indies,Uganda,Group C,West Indies,Batting,173,5,39,10,West Indies,Normal Match,Runs,134,Johnson Charles,44,Akeal Hosein,5,11,Akeal Hosein,T20I # 2651
19th,09-06-2024,"Nassau County International Cricket Stadium, New York",India,Pakistan,Group A,Pakistan,Fielding,119,10,113,7,India,Normal Match,Runs,6,Rishabh Pant,42,Jasprit Bumrah,3,14,Jasprit Bumrah,T20I # 2658
20th,09-06-2024,"Sir Vivian Richards Stadium, North Sound, Antigua",Oman,Scotland,Group B,Oman,Batting,150,7,153,3,Scotland,Normal Match,Wickets,7,Brandon McMullen,31,Chris Greaves,1,2,Brandon McMullen,T20I # 2659
21th,10-06-2024,"Nassau County International Cricket Stadium, New York",South Africa,Bangladesh,Group D,South Africa,Batting,113,6,109,7,South Africa,Normal Match,Runs,4,Heinrich Klaasen,46,Tanzim Hasan Sakib,3,18,Heinrich Klaasen,T20I # 2664
22th,11-06-2024,"Nassau County International Cricket Stadium, New York",Canada,Pakistan,Group A,Pakistan,Fielding,106,7,107,3,Pakistan,Normal Match,Wickets,7,Aaron Johnson,52,Mohammad Amir,2,13,Mohammad Amir,T20I # 2665
24th,11-06-2024,"Sir Vivian Richards Stadium, North Sound, Antigua",Namibia,Australia,Group B,Australia,Fielding,72,10,74,1,Australia,Normal Match,Wickets,9,Gerhard Erasmus,36,Adam Zampa,4,12,Adam Zampa,T20I # 2666
25th,12-06-2024,"Nassau County International Cricket Stadium, New York",United States of America,India,Group A,India,Fielding,110,8,111,3,India,Normal Match,Wickets,7,Suryakumar Yadav,50,Arshdeep Singh,4,9,Arshdeep Singh,T20I # 2671
